,kcat,data_type,MW,kcat_MW
rxn03903_c_reverse,5.3149999999999995,Other_species,72801.2976,262.8249856909144
rxn00802_c_reverse,230.47744444444444,Other_species,101166.546,8201.5135714923
rxn02720_c_reverse,92.11603090909091,Other_species,41063.8695,8075.6566614533795
rxn03958_c_reverse,1.275,Other_species,41899.735,109.54723221996511
rxn02933_c_reverse,827.0366923076923,Other_species,31543.3946,94388.4489942529
rxn05617_c_reverse_num1,1142.7105161621917,fill,187178.9473,21977.67386516277
rxn03852_c_reverse,5.930666666666666,Other_species,26561.6973,803.8040550970363
rxn01354_c_reverse,561.2830769230769,Other_species,103433.032,19535.52978049678
rxn02159_c_reverse,8.039,Other_species,45855.9126,631.115997024122
rxn05466_c_reverse,1142.7105161621917,fill,144673.9782,28434.677122771547
rxn05335_c_reverse,7.070588235294117,Other_species,16026.5332,1588.2485207130649
rxn03419_c_reverse,7.2103725,Other_species,20970.079,1237.8275255901515
rxn10256_c_reverse,10.403333333333332,Other_species,17917.1538,2090.287353563935
rxn05607_c_reverse,1142.7105161621917,fill,187178.9473,21977.67386516277
rxn04056_c_reverse,22.018571428571427,Other_species,63595.5782,1246.4208894142444
rxn00907_c_reverse,308.26666666666665,Other_species,60213.3516,18430.46385081145
rxn08300_c_reverse,10.403333333333332,Other_species,17917.1538,2090.287353563935
rxn01465_c_reverse,1.605,Other_species,89520.8894,64.54359467076519
rxn03052_c_reverse,0.399,Other_species,86287.6334,16.646649622911085
rxn01301_c_reverse,4.351272727272727,Other_species,89559.8108,174.9063746144249
rxn01637_c_reverse,1.55,Other_species,84087.3992,66.35952655317706
rxn02835_c_reverse,4.2175,Other_species,24699.8434,614.7002535246843
rxn01575_c_reverse,214.16363636363636,Other_species,40254.5762,19152.830899983262
rxn09562_c_reverse,1142.7105161621917,fill,22278.8922,184648.22313669126
rxn03435_c_reverse,2.9369259259259257,Other_species,35895.7825,294.5452807257602
rxn00143_c_reverse,1.4381044444444444,Other_species,24501.9496,211.29649209628607
rxn01629_c_reverse,0.51,Other_species,91513.3746,20.06264120436009
rxn01740_c_reverse,92.95833725882353,Other_species,59821.8268,5594.112250209061
rxn05655_c_reverse_num1,1142.7105161621917,fill,100158.9224,41072.30548822169
rxn03910_c_reverse,2.3333333333333335,Other_species,50271.339900000006,167.09321885410893
rxn00237_c_reverse,677.0,Other_species,16903.2791,144185.04158758165
rxn03175_c_reverse,7.91625,Other_species,26040.6031,1094.3870958196048
rxn03421_c_reverse_num1,7.2103725,Other_species,20970.079,1237.8275255901515
rxn05336_c_reverse,28.445818181818183,Other_species,102101.1492,1002.9754440270831
rxn05567_c_reverse,1142.7105161621917,fill,187178.9473,21977.67386516277
rxn08893_c_reverse,20.87909090909091,Other_species,346680.508,216.81267200845127
rxn06864_c_reverse,81000.15677,Other_species,88610.84,3290800.136552142
rxn08615_c_reverse,303.75,Other_species,214854.2524,5089.496660108925
rxn00636_c_reverse,67.85,Other_species,101709.5374,2401.5446952568677
rxn00719_c_reverse_num1,0.65,Other_species,27156.1206,86.16841979999161
rxn05340_c_reverse,28.445818181818183,Other_species,102101.1492,1002.9754440270831
rxn01132_c_reverse,12.9,Other_species,247958.924,187.2890850260344
rxn05671_c_reverse,1142.7105161621917,fill,325807.404,12626.348596374717
rxn00647_c_reverse,110.963,Other_species,266847.555,1496.9850482609818
rxn08128_c_reverse,57.15384210526316,Other_species,117297.966,1754.112527227858
rxn01706_c_reverse,2.5013666666666667,Other_species,76254.525,118.09030349346482
rxn05485_c_reverse,1142.7105161621917,fill,187178.9473,21977.67386516277
rxn00214_c_reverse,106.0,Other_species,148992.5346,2561.2021503257247
rxn01211_c_reverse,40.9,Other_species,60213.3516,2445.304838337549
rxn00109_c_reverse,3.8,Other_species,170353.7899,80.30346731957268
rxn01917_c_reverse,63.46666666666667,Other_species,61164.3356,3735.510208010827
rxn05501_c_reverse,1142.7105161621917,fill,187178.9473,21977.67386516277
rxn03253_c_reverse,92.11603090909091,Other_species,41063.8695,8075.6566614533795
rxn01509_c_reverse,139.08,Other_species,22278.8922,22473.648846866814
rxn01548_c_reverse,39.62307692307692,Other_species,57803.2118,2467.7361773014304
rxn09176_c_reverse,21.90888888888889,Other_species,79788.8867,988.5085913850706
rxn03269_c_reverse,23.542857142857144,Other_species,61220.5964,1384.408037460506
rxn01669_c_reverse,2.5933333333333333,Other_species,281629.06200000003,33.14998790856321
rxn05734_c_reverse,1142.7105161621917,fill,162478.1243,25318.841388076573
rxn08535_c_reverse_num1,1142.7105161621917,fill,37468.78,109791.61473055408
rxn00546_c_reverse,67.8875,Other_species,89155.1046,2741.233955099863
rxn05338_c_reverse,28.445818181818183,Other_species,102101.1492,1002.9754440270831
rxn05645_c_reverse,1142.7105161621917,fill,41261.4882,99699.69668190228
rxn05337_c_reverse,28.445818181818183,Other_species,102101.1492,1002.9754440270831
rxn08073_c_reverse_num1,1142.7105161621917,fill,27386.5376,150210.95102521795
rxn09022_c_reverse,1142.7105161621917,fill,41697.2873,98657.68553686919
rxn02811_c_reverse_num1,3.2,Other_species,44508.9581,258.824301708379
rxn03062_c_reverse,48.800769230769234,Other_species,77129.933,2277.7508341770404
rxn09242_c_reverse_num1,1142.7105161621917,fill,187178.9473,21977.67386516277
rxn01138_c_reverse,18.79,Other_species,57803.2118,1170.2463910491563
rxn05465_c_reverse_num1,429.6084972727273,Other_species,63283.2636,24439.172416225043
rxn06077_c_reverse,4.804266666,Other_species,36177.1413,478.0742583881275
rxn08126_c_reverse,57.15384210526316,Other_species,117297.966,1754.112527227858
rxn00297_c_reverse,3.93,Other_species,86546.7206,163.47239851396517
rxn00745_c_reverse_num1,4.833333,Other_species,17782.2636,978.50302927688
rxn06023_c_reverse,1.0254999999999999,Other_species,13745.6425,268.57966079068325
rxn00611_c_reverse,326.40500333,Other_species,36185.1273,32473.50775488359
rxn01678_c_reverse,890.0,Other_species,16903.2791,189549.02069859332
rxn00931_c_reverse,212.8,Other_species,28013.1376,27347.168708442
rxn00515_c_reverse,890.0,Other_species,16903.2791,189549.02069859332
rxn01353_c_reverse,890.0,Other_species,16903.2791,189549.02069859332
rxn00735_c_reverse,48.800769230769234,Other_species,77129.933,2277.7508341770404
rxn04750_c_reverse,4376.4216,Other_species,31543.3946,499474.38948121323
rxn05610_c_reverse_num1,1142.7105161621917,fill,187178.9473,21977.67386516277
rxn08025_c_reverse,56.0483,Other_species,213090.8964,946.8911314786698
rxn02508_c_reverse,32.725,Other_species,45991.9928,2561.532841429737
rxn10253_c_reverse,10.403333333333332,Other_species,17917.1538,2090.287353563935
rxn08475_c_reverse,1142.7105161621917,fill,77787.9349,52884.266222934406
rxn00993_c_reverse,0.1,Other_species,32330.4336,11.135019234632226
rxn09996_c_reverse,1142.7105161621917,fill,57921.3458,71023.17464080556
rxn00283_c_reverse,80.515,Other_species,125385.2498,2311.70732173315
rxn00184_c_reverse_num1,5.466,Other_species,107197.0282,183.5647902783932
rxn05330_c_reverse,7.070588235294117,Other_species,16026.5332,1588.2485207130649
rxn05339_c_reverse,28.445818181818183,Other_species,102101.1492,1002.9754440270831
rxn02789_c_reverse_num1,3.2,Other_species,44508.9581,258.824301708379
rxn01370_c_reverse,5.2,Other_species,76254.525,245.49362808305477
rxn10257_c_reverse,10.403333333333332,Other_species,17917.1538,2090.287353563935
rxn05342_c_reverse,28.445818181818183,Other_species,102101.1492,1002.9754440270831
rxn08123_c_reverse_num1,1142.7105161621917,fill,27386.5376,150210.95102521795
rxn05349_c_reverse,3.8186999999999998,Other_species,17453.3982,787.6586463259631
rxn02200_c_reverse_num1,0.0354,Other_species,43214.1362,2.949034996562074
rxn00358_c_reverse,13.748913333333332,Other_species,43149.0811,1147.094833498088
rxn01646_c_reverse,27.884,Other_species,57803.2118,1736.623223417492
rxn01302_c_reverse,5.060933333333334,Other_species,89559.8108,203.43231899726163
rxn08933_c_reverse,1142.7105161621917,fill,127713.0154,32210.952386485504
rxn00784_c_reverse,134.3,Other_species,89055.5662,5428.970031072578
rxn02285_c_reverse,30.20769230769231,Other_species,96388.1349,1128.226958852508
rxn08936_c_reverse,1142.7105161621917,fill,127713.0154,32210.952386485504
rxn00559_c_reverse,16370.337,Other_species,241364.82189999998,244166.539001349
rxn01366_c_reverse,269.153,Other_species,53075.8826,18255.95265748817
rxn01361_c_reverse_num1,49.3,Other_species,53912.008,3292.0309701690203
rxn01647_c_reverse,27.884,Other_species,57803.2118,1736.623223417492
rxn00260_c_reverse_num1,535.186,Other_species,266847.555,7220.113371471589
rxn02803_c_reverse,92.11603090909091,Other_species,41063.8695,8075.6566614533795
rxn00817_c_reverse,60.99666666666667,Other_species,164769.1972,1332.7005516295615
rxn03136_c_reverse,35.741,Other_species,53615.9384,2399.8013247493586
rxn01128_c_reverse,2.5013666666666667,Other_species,76254.525,118.09030349346482
rxn08040_c_reverse,1.2,Other_species,545815.5228,7.914762075359575
rxn05331_c_reverse,7.070588235294117,Other_species,16026.5332,1588.2485207130649
rxn02476_c_reverse,26.37001335,Other_species,44188.2461,2148.35519484445
rxn01512_c_reverse,425.4557142857143,Other_species,16903.2791,90612.03819491873
rxn01257_c_reverse,0.5452114,Other_species,41926.139,46.81473388236393
rxn00903_c_reverse,203.0,Other_species,40254.5762,18154.457678776904
rxn08668_c_reverse,2.8,Other_species,27247.657,369.94006493842755
rxn05341_c_reverse,28.445818181818183,Other_species,102101.1492,1002.9754440270831
rxn00298_c_reverse,8.235,Other_species,47773.0686,620.5588392954937
rxn08124_c_reverse_num1,1142.7105161621917,fill,27386.5376,150210.95102521795
rxn07438_c_reverse,0.4143125,Other_species,36177.1413,41.22838196726174
rxn01510_c_reverse,2.5013666666666667,Other_species,76254.525,118.09030349346482
rxn00693_c_reverse_num1,7.666666666666667,Other_species,339900.8752,81.20014396479553
rxn01101_c_reverse_num1,913.3375,Other_species,81961.5786,40116.54065433045
rxn02005_c_reverse,1142.7105161621917,fill,187178.9473,21977.67386516277
rxn01859_c_reverse,27.884,Other_species,57803.2118,1736.623223417492
rxn00806_c_reverse,183.70909090909092,Other_species,40254.5762,16429.255744412163
rxn01790_c_reverse,3.485,Other_species,66982.7802,187.30187016035507
rxn01446_c_reverse,27.884,Other_species,57803.2118,1736.623223417492
rxn02003_c_reverse,23.542857142857144,Other_species,61220.5964,1384.408037460506
rxn00577_c_reverse,182.66666666666666,Other_species,56259.4578,11688.70134400762
rxn00912_c_reverse,0.781,Other_species,297250.658,9.458683855966434
rxn08898_c_reverse,1142.7105161621917,fill,346680.50800000003,11866.135428023226
rxn08890_c_reverse,20.87909090909091,Other_species,346680.508,216.81267200845127
