id,smiles
cpd03122,CCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
cpd11479,
cpd02691,C[C@H](O)[C@H](C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
cpd02569,CC(C)(O)C(=O)C(=O)[O-]
cpd00876,CC(CO)C(=O)[O-]
cpd11484,
cpd15371,
cpd11483,*SC(=O)C[C@H](O)CCCCC
cpd11481,*SC(=O)C[C@H](O)CCCCCCCCCCCCC
cpd02210,O=P([O-])([O-])OC[C@@H](O)[C@@H](O)c1c[nH]c2ccccc12
cpd00123,CC(C)C(=O)C(=O)[O-]
cpd00508,CC[C@H](C)C(=O)C(=O)[O-]
cpd11489,
cpd11487,
cpd03123,CCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
cpd11486,
cpd11491,
cpd11490,
cpd11485,
cpd03443,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cc(C(=O)[O-])ccc1O
cpd00169,O=C([O-])[C@H](O)COP(=O)([O-])[O-]
cpd02069,O=C([O-])C(=O)COP(=O)([O-])[O-]
cpd00932,C=C(O[C@@H]1CC(C(=O)[O-])=C[C@@H](OP(=O)([O-])[O-])[C@H]1O)C(=O)[O-]
cpd03034,C[C@H](CNC(N)=O)C(=O)[O-]
cpd00281,[NH3+]CCCC(=O)[O-]
cpd00434,[NH3+]CCCC=O
cpd00443,Nc1ccc(C(=O)[O-])cc1
cpd08210,C=C(O[C@@H]1C=C(C(=O)[O-])C=C[C@H]1[NH3+])C(=O)[O-]
cpd00939,Cc1nc(N)c(CO)c[nH+]1
cpd02775,Cc1nc(N)c(COP(=O)([O-])[O-])c[nH+]1
cpd08287,C[C@](O)(CO)[C@H](O)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O
cpd01042,Cc1ccc(O)cc1
cpd00780,O=C([O-])/C=C/C(=O)CC(=O)CC(=O)[O-]
cpd00136,O=C([O-])c1ccc(O)cc1
cpd03608,[NH3+][C@H](C(=O)[O-])[C@H](O)CO
cpd00200,CC(C)CC(=O)C(=O)[O-]
cpd02654,Cc1ncsc1CCOP(=O)([O-])[O-]
cpd01977,[NH3+][C@@H](CC(=O)OP(=O)([O-])[O-])C(=O)[O-]
cpd02201,CC(C)(COP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)[O-]
cpd02666,CC(C)(COP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)N[C@@H](CS)C(=O)[O-]
cpd02882,Nc1c(NC[C@H](O)[C@H](O)[C@H](O)CO)[nH]c(=O)[nH]c1=O
cpd00673,CC1CNC(=O)NC1=O
cpd00337,O=C1CCNC(=O)N1
cpd02893,Nc1c(C(=O)[O-])[nH+]cn1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
cpd00338,[NH3+]CC(=O)CCC(=O)[O-]
cpd00729,NC(=O)CCCC[NH3+]
cpd02720,Nc1c(NC[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])[nH]c(=O)[nH]c1=O
cpd00931,Nc1c(N[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)[nH]c(=O)[nH]c1=O
cpd00339,[NH3+]CCCCC(=O)[O-]
cpd11310,O=C([O-])Nc1cncn1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
cpd02197,Nc1nc2c(c(=O)[nH]1)N(C=O)[C@@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)CN2
cpd08625,O=C1N=C2NC(=O)N[C@@]2(O)C(=O)N1
cpd09027,NC(=O)NC1=NC(=O)N[C@@]1(O)C(=O)[O-]
cpd00147,CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
cpd00345,CN1c2c(nc(N)[nH]c2=O)NC[C@@H]1CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1
cpd01981,CSC[C@H]1OC(O)[C@H](O)[C@@H]1O
cpd02255,O=C([O-])CC1=CCC(=O)O1
cpd02904,Cc1cc2ncn([C@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2cc1C
cpd02074,[NH3+]CCCCC(=O)C(=O)[O-]
cpd00284,O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-]
cpd00911,O=C1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H](O)[C@H]1O
cpd04122,[NH3+]CC=O
cpd00279,CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
cpd00029,CC(=O)[O-]
cpd00142,CC(=O)CC(=O)[O-]
cpd11494,
cpd00071,CC=O
cpd00022,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
cpd02552,CC(=O)N[C@@H](CCC(=O)OP(=O)([O-])[O-])C(=O)[O-]
cpd00918,CC(=O)N[C@@H](CCC=O)C(=O)[O-]
cpd00122,CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
cpd00122,CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
