Reaction_ID,data_type,kcat,MW,kcat_MW
rxn00654_c0,DLkcat,32.1464,44618.7149,2593.688327
rxn01834_c0_reverse,DLkcat,31.9422,13795.4076,4167.760871
rxn00414_c0,DLkcat,31.852,116300.9875,369.29757
rxn08073_c0_num1,DLkcat,31.6398,27386.5376,4159.097498
rxn05560_c0_num1,DLkcat,31.0757,62481.4103,597.6768307
rxn00171_c0_reverse_num2,DLkcat,31.0631,39940.3607,484.0999666
rxn02402_c0_reverse,DLkcat,31.0177,29701.8902,1879.740974
rxn00192_c0_num9,DLkcat,30.7023,22965.7164,2406.375618
rxn06874_c0_num4,DLkcat,30.7023,59405.9011,930.2803085
rxn10263_c0_reverse,DLkcat,30.6021,19647.4776,2803.60569
rxn00653_c0,DLkcat,30.5663,54001.7695,677.2522792
rxn00192_c0_num4,DLkcat,30.4684,19229.9847,5703.917175
rxn15395_c0,DLkcat,29.8965,53553.0483,702.5176491
rxn00650_c0_reverse_num2,DLkcat,29.8347,38522.6475,2788.098092
rxn06865_c0_reverse_num22,DLkcat,29.7768,17665.0281,505.6906759
rxn05349_c0_reverse,DLkcat,29.7721,8726.6991,3139.451977
rxn05619_c0,DLkcat,29.7721,36295.2308,1476.496466
rxn01265_c0_reverse,DLkcat,29.1478,54166.3485,1937.21901
rxn02201_c0_num2,DLkcat,28.6295,18662.3424,5522.68294
rxn00085_c0,DLkcat,41.9,53598.5141,2814.257121
rxn10344_c0_num3,DLkcat,28.2795,77573.106,1312.390405
rxn00931_c0,DLkcat,28.1983,28013.1376,3623.795429
rxn01132_c0_reverse,DLkcat,28.1689,72261.9442,408.9711246
rxn08976_c0,DLkcat,28.1689,60630.1003,1672.569227
rxn03052_c0,DLkcat,27.8769,86287.6334,1163.050092
rxn12512_c0,DLkcat,27.8031,27277.3273,917.3475731
rxn05582_c0,DLkcat,27.5614,46742.6067,2122.710884
rxn03108_c0,DLkcat,27.3363,27479.2195,1790.638195
rxn08086_c0,DLkcat,27.2659,27474.6194,1786.325746
rxn00202_c0_reverse,DLkcat,26.9179,39068.7303,974.6768568
rxn01544_c0_reverse,DLkcat,26.6648,20848.8153,2302.12793
rxn01674_c0,DLkcat,26.5624,38127.2625,1254.01922
rxn05233_c0,DLkcat,26.5623,11171.824,1673.668043
rxn05501_c0_reverse,DLkcat,26.24,62216.1267,504.6721406
rxn04056_c0_reverse,DLkcat,26.24,31797.7891,1485.386291
rxn01740_c0_reverse,DLkcat,25.6496,29910.9134,1543.559683
rxn00493_c0_reverse_num3,DLkcat,25.5539,44665.6693,1029.807025
rxn01446_c0_reverse,DLkcat,24.9322,28901.6059,1552.784304
rxn00192_c0_num5,DLkcat,24.6472,20831.5131,4259.40831
rxn00690_c0,DLkcat,24.5813,58470.8198,756.725152
rxn01644_c0,DLkcat,24.5774,32204.6332,686.8471335
rxn05560_c0_reverse_num1,DLkcat,24.258,62481.4103,466.552469
rxn08535_c0_reverse_num1,DLkcat,24.258,18734.39,2330.708392
rxn00790_c0_reverse,DLkcat,23.7953,54226.0296,1579.740959
rxn05496_c0,DLkcat,23.7526,46742.6067,1829.366525
rxn15947_c0,DLkcat,23.4118,44744.5419,941.8185596
rxn00002_c0,DLkcat,23.035,47397.6959,1749.578717
rxn09111_c0_reverse,DLkcat,22.9193,19647.4776,2099.7474
rxn00527_c0_num2,DLkcat,22.8301,40146.5918,522.0405186
rxn20643_c0_reverse,DLkcat,22.453,47285.425,142.4519289
rxn00192_c0_num10,DLkcat,22.4465,17830.8762,4531.880492
rxn05655_c0_num1,DLkcat,22.4247,50079.4612,806.0082723
rxn01211_c0_reverse,DLkcat,22.3865,30106.6758,1338.430728
rxn02186_c0_reverse,DLkcat,22.2528,35895.7825,2231.740734
rxn00781_c0_num1,DLkcat,22.2528,36780.5737,544.5135294
rxn00260_c0_num3,DLkcat,21.7994,40146.5918,977.3910621
rxn10262_c0,DLkcat,21.7908,19647.4776,1996.360082
rxn06848_c0_reverse_num3,DLkcat,21.5642,16795.1521,4622.233817
rxn00405_c0,DLkcat,21.5505,52731.8077,735.6262129
rxn03136_c0_reverse,DLkcat,21.4887,53615.9384,1442.841855
rxn05518_c0_reverse_num1,DLkcat,21.1776,11171.041,3412.365956
rxn01710_c0,DLkcat,21.0102,95529.8896,327.43149
rxn00011_c0_reverse,DLkcat,20.8659,57301.058,388.2782413
rxn06865_c0_reverse_num3,DLkcat,20.6214,16795.1521,4420.14693
rxn06673_c0,DLkcat,20.4762,31564.7865,1207.577811
rxn00910_c0,DLkcat,20.4762,31766.0372,580.1346855
rxn05501_c0,DLkcat,20.3434,62216.1267,391.2632326
rxn01334_c0_reverse_num1,DLkcat,20.1317,30513.7556,593.7823661
rxn05518_c0_reverse_num3,DLkcat,20.1317,49393.2392,733.64413
rxn05560_c0_num3,DLkcat,19.9547,71245.7029,252.0745711
rxn06848_c0_reverse_num13,DLkcat,19.8431,21612.2209,1652.656623
rxn00946_c0,DLkcat,19.5657,41063.8695,1715.291833
rxn00192_c0_num6,DLkcat,19.5156,30310.6344,2317.871644
