metname,inchikey
actp,LIPOUNRJVLNBCD-UHFFFAOYSA-L
adcobdam,OCNLJCZKGHKJGF-QOCQOLRHSA-N
ade,GFFGJBXGBJISGV-UHFFFAOYSA-N
adhlam,ARGXEXVCHMNAQU-UHFFFAOYSA-N
adn,OIRDTQYFTABQOQ-KQYNXXCUSA-N
adocbi,KQXSPGAEBZWHMC-OCUXTBADSA-N
adocbip,MQCMBMUJJHSGIF-QMUWONGRSA-K
adocbl,ZIHHMGTYZOSFRC-QRVZQHAISA-N
adp,XTWYTFMLZFPYCI-KQYNXXCUSA-K
adpglc,WFPZSXYXPSUOPY-ROYWQJLOSA-L
adprib,SRNWOUGRCWSEMX-TYASJMOZSA-L
agdpcbi,IQTYKHRKNGVJEO-RRMAJTJESA-K
agm,QYPPJABKJHAVHS-UHFFFAOYSA-P
ahcys,ZJUKTBDSGOFHSH-WFMPWKQPSA-N
ahdt,DGGUVLXVLHAAGT-XINAWCOVSA-J
aicar,NOTGFIUVDGNKRI-UUOKFMHZSA-L
air,PDACUKOKVHBVHJ-ZRTZXPPTSA-M
akg,KPGXRSRHYNQIFN-UHFFFAOYSA-L
ala__D,QNAYBMKLOCPYGJ-UWTATZPHSA-N
ala__L,QNAYBMKLOCPYGJ-REOHCLBHSA-N
ala_B,UCMIRNVEIXFBKS-UHFFFAOYSA-N
alaala,DEFJQIDDEAULHB-QWWZWVQMSA-N
alac__S,NMDWGEGFJUBKLB-YFKPBYRVSA-M
allphn,AVWRKZWQTYIKIY-UHFFFAOYSA-M
alltn,POJWUDADGALRAB-UHFFFAOYSA-N
amet,MEFKEPWMEQBLKI-AIRLBKTGSA-O
ametam,ZUNBITIXDCPNSD-LSRJEVITSA-O
amp,UDMBCSSLTHHNCD-KQYNXXCUSA-L
anhgm,NA
anhgm3p,ZWZMFRJKRXDGBE-UHFFFAOYSA-L
anhgm4p,ZTOWCORYLXDAAW-JOUWMGDHSA-L
anhm,NA
anhm3p,KGVLFEPQSVUIRC-FYQNUYSYSA-L
anhm4p,OUWAMZWZTFUVMV-NPLPHQDTSA-L
anth,RWZYAGGXGHYGMB-UHFFFAOYSA-M
apoACP,NA
aproa,PCXDJQZLDDHMGX-UHFFFAOYSA-O
aps,IRLPACMLTUPBCL-KQYNXXCUSA-L
arab__D,SRBFZHDQGSBBOR-ZRMNMSDTSA-N
arab__L,PYMYPHUHKUWMLA-VAYJURFESA-N
arbt,BJRNKVDFDLYUGJ-RMPHRYRLSA-N
arbt6p,FBHYCDOVYMVLEN-RMPHRYRLSA-L
arg__L,ODKSFYDXXFIFQN-BYPYZUCNSA-O
argsuc,KDZOASGQNOPSCU-ZBHICJROSA-M
asn__L,DCXYFEDJOCDNAF-REOHCLBHSA-N
asp__L,CKLJMWTZIZZHCS-REOHCLBHSA-M
aspsa,HOSWPDPVFBCLSY-VKHMYHEASA-N
atp,ZKHQWZAMYRWXGA-KQYNXXCUSA-J
b2coa,KFWWCMJSYSSPSK-PAXLJYGASA-J
betald,SXKNCCSPZDCRFD-UHFFFAOYSA-N
btamp,UTQCSTJVMLODHM-RHCAYAJFSA-N
btcoa,CRFNGMNYKDXRTN-CITAKDKDSA-J
btn,YBJHBAHKTGYVGT-ZKWXMUAHSA-M
btnCCP,NA
but2eACP,NA
butACP,NA
ca2,BHPQYMZQTOCNFJ-UHFFFAOYSA-N
cala,JSJWCHRYRHKBBW-UHFFFAOYSA-M
cbasp,HLKXYZVTANABHZ-REOHCLBHSA-L
cbi,XQRJFEVDQXEIAX-JFYQDRLCSA-M
cbl1,OMAOKVYASDIYQG-DSRCUDDDSA-L
cbm,KXDHJXZQYSOELW-UHFFFAOYSA-M
cbp,FFQKYPRQEYGKAF-UHFFFAOYSA-L
cbtnCCP,NA
cd2,WLZRMCYVCSSEQC-UHFFFAOYSA-N
cdp,ZWIADYZPOWUWEW-XVFCMESISA-K
cdpdddecg,NA
cdpdhdec9eg,LBKBJHVQQNUXGQ-BQUKFSKHSA-L
cdpdhdecg,NA
cdpdodec11eg,KISJWPWNABZPGN-IGIWICMZSA-L
cdpdodecg,PDCWLWQTNQCGRI-IGIWICMZSA-L
cdpdtdec7eg,VDJIEKQUDMPHPA-WNAWUNHNSA-L
cdpdtdecg,ICFWXMWHAMIZGF-WNAWUNHNSA-L
cdpglyc,HHPOUCCVONEPRK-JBSYKWBFSA-L
cellb,GUBGYTABKSRVRQ-QRZGKKJRSA-N
cellb6p,ITPHOIFCAFNCLL-QRZGKKJRSA-L
cgly,ZUKPVRWZDMRIEO-VKHMYHEASA-N
chol,OEYIOHPDSNJKLS-UHFFFAOYSA-N
chor,WTFXTQVDAKGDEY-HTQZYQBOSA-L
chtbs,NA
cit,KRKNYBCHXYNGOX-UHFFFAOYSA-K
citr__L,RHGKLRLOHDJJDR-BYPYZUCNSA-N
cl,VEXZGXHMUGYJMC-UHFFFAOYSA-M
cmp,IERHLVCPSMICTF-XVFCMESISA-L
cmusa,KACPVQQHDVBVFC-OIFXTYEKSA-M
co,UGFAIRIUMAVXCW-UHFFFAOYSA-N
co1dam,NKLHEMWEQJCPPF-OKJGWHJPSA-H
co2,CURLTUGMZLYLDI-UHFFFAOYSA-N
coa,RGJOEKWQDUBAIZ-IBOSZNHHSA-J
cobalt2,XLJKHNWPARRRJB-UHFFFAOYSA-N
cpppg3,NIUVHXTXUXOFEB-UHFFFAOYSA-J
ctp,PCDQPRRSZKQHHS-XVFCMESISA-J
cu2,JPVYNHNXODAKFH-UHFFFAOYSA-N
cys__L,XUJNEKJLAYXESH-REOHCLBHSA-N
cyst__L,ILRYLPWNYFXEMH-WHFBIAKZSA-N
cytd,UHDGCWIWMRVCDJ-XVFCMESISA-N
dad_2,OLXZPDWKRNYJJZ-RRKCRQDMSA-N
dad_5,XGYIMTFOTBMPFP-KQYNXXCUSA-N
dadp,DAEAPNUQQAICNR-RRKCRQDMSA-K
damp,KHWCHTKSEGGWEX-RRKCRQDMSA-L
datp,SUYVUBYJARFZHO-RRKCRQDMSA-J
db4p,OKYHYXLCTGGOLM-UHFFFAOYSA-L
dc2coa,MGNBGCRQQFMNBM-YJHHLLFWSA-J
dca,NA
dcaACP,NA
dcacoa,NA
dcamp,OFBHPPMPBOJXRT-DPXQIYNJSA-J
dcdp,FTDHDKPUHBLBTL-SHYZEUOFSA-K
dcmp,NCMVOABPESMRCP-SHYZEUOFSA-L
dctp,RGWHQCVHVJXOKC-SHYZEUOFSA-J
dcyt,CKTSBUTUHBMZGZ-SHYZEUOFSA-N
dd2coa,IRFYVBULXZMEDE-DEEZISNZSA-J
ddca,NA
ddcaACP,NA
ddcacoa,YMCXGHLSVALICC-GMHMEAMDSA-J
dextrin,NA
dgdp,CIKGWCTVFSRMJU-KVQBGUIXSA-K
dgmp,LTFMZDNNPPEQNG-KVQBGUIXSA-L
dgsn,YKBGVTZYEHREMT-KVQBGUIXSA-N
dgtp,HAAZLUGHYHWQIW-KVQBGUIXSA-J
dha,RXKJFZQQPQGTFL-UHFFFAOYSA-N
dhap,GNGACRATGGDKBX-UHFFFAOYSA-L
dhf,OZRNSSUDZOLUSN-LBPRGKRZSA-L
dhgly,TVMUHOAONWHJBV-UHFFFAOYSA-N
